,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
4073,4074,Enriched Coconut Hair Oil - With 7 Ayurvedic Herbs,Beauty & Hygiene,Hair Care,Dabur Vatika,157.52,179.0,Hair Oil & Serum,4.2,"Want to control hair fall? The new Dabur Vatika Enriched Coconut Hair Oil with 7 Ayurvedic herbs is here for you. A unique blend of ayurvedic herbs like Amla, Brahmi, Heena, Kapur, Harar and Coconut processed by Tel Pak Vidhi helps in controlling hair fall and rejuvenating the scalp."
4285,4286,Almond Hair Oil,Beauty & Hygiene,Hair Care,Dabur,215.6,280.0,Hair Oil & Serum,4.2,"Enriched with the goodness of almond protein and Vitamin E, regular use of Dabur Almond Hair Oil is essential for healthy, strong and damage-free hair. It has twice the amount of Vitamin E compared to other leading almond hair oil brands."
4307,4308,Bio Bhringraj Therapeutic Oil,Beauty & Hygiene,Hair Care,BIOTIQUE,119.25,159.0,Hair Oil & Serum,4.5,"This intensive formula features pure bhringraj, butea frondosa, amla and centella blended with coconut oil and the healthfulness of goat milk to help treat alopecia and other causes of hair loss. It nourishes the scalp and strengthens hair strands to encourage fresh growth and help diminish greying."
4662,4663,Bhringraj Multi-Vitaliser Hair Oil,Beauty & Hygiene,Hair Care,Aloe Veda,265.5,295.0,Hair Oil & Serum,5.0,"This Bhringraj Multi-Vitaliser Hair Oil is made with Bhringraj (Eclipta Alba) Oil and natural herbs including Neela Amari Oil (Indigofera Tinctoria), Amla (Emblica Officinalis) Extracts, Indian Liquorice Root (Abrus Precatorius) Extracts, Yashtimadhu (Glycyrrhiza Glabra) Extracts, Sakralata (Cardiospermum Helicacabum) Extracts and Anjanam in a base of Virgin Coconut Oil, Coconut Milk, Goats Milk, Cow Milk and Buffalo Milk.Use this tonic regularly, and it will nourish and condition the scalp from the roots, which will strengthen the hair follicles and thus preventing hair-fall, controls dandruff, promotes hair regrowth, revives dull and brittle hair and prevents early greying of hair. Amla oil enriches hair growth and pigmentation and Anjanam imparts a blackish-tint to the hair."
4747,4748,Natural Hair Strengthening Oil,Beauty & Hygiene,Hair Care,The Moms Co,429.0,429.0,Hair Oil & Serum,5.0,"Natural Hair Strengthening Oil by The Moms Co. is a combination of 8 natural oils including Amla, Bhringraj, Coffee and (name) oils. The Natural Hair Strengthening Oil is proven to improve hair strength by 77% and reduce hair fall. Amla oil in Natural Hair Strengthening Oil nourishes roots and strengthens hair while Bhringraj oil improves blood circulation and encourages hair growth while Coffee oil stimulates hair follicles.
Natural Hair Strengthening Oil by The Moms Co. is an effective solution for Hair fall, Hair thinning and breakage, Brittle hair, Weak hair roots 5 bullet points:

Strengthens hair by 77% - The Natural Hair Strengthening Oil by The Moms Co. is proven to reduce hair fall and strengthens hair with a combination of 8 natural oils which include Amla, Bhringraj, Coffee and Tea Tree oils.
Stimulates hair follicles - The Natural Hair Strengthening Oil by The Moms Co. has Coffee oil which stimulates hair follicles and encourages hair growth.
Controls hair fall - Amla and Bhringraj oils in Natural Hair Strengthening oil reduces hair fall and strengthens hair
Improves blood circulation - Bhringraj oil in Natural Hair Strengthening Oil improves blood circulation and encourages hair growth.
Reduces hair breakage and thinning - Amla oil and Bhringraj oil together reduce hair breakage and hair thinning."
4818,4819,Naturals Hair Oil - Jasmine,Beauty & Hygiene,Hair Care,Nihar,139.5,155.0,Hair Oil & Serum,4.4,"Created with the goodness of Coconut and methi, Nihar Naturals is built on the base of expertise and experience about hair. It nourishes your hair from root to tip. Coconut oil can go 10 layers deep in hair and lock in proteins so hair is not only strong from the inside but soft, shiny from the outside. This non-sticky hair oil also helps repair the damage your hair goes through due to pollution, dust and heat so that hair is always beautiful. Methi as a seed is very effective in helping hair growth and fighting hair fall. Its nonsticky nature is suitable for all seasons! 
In today's time, women have many more hair concerns than earlier- like rough hair, hair fall, frizzy hair, split. Naturals hair oil for women, your trusted brand understands your evolving hair care needs and is here to help you keep your hair healthy and beautiful.  Also try other offerings from Nihar Naturals- Nihar Shanti Sarson, Nihar Shanti Badam Amla, Nihar Shanti Jasmine and Nihar Gold!"
4908,4909,Enriched Coconut Hair Oil - With 7 Ayurvedic Herbs,Beauty & Hygiene,Hair Care,Dabur Vatika,211.65,249.0,Hair Oil & Serum,4.3,"A unique blend of Ayurvedic herbs like Amla, Brahmi, Henna, Coconut helps to control hair fall and rejuvenates the scalp. Amla strengthens the hair roots to help maintain natural thickness. Lemon controls sebum flow and prevents dandruff. Brahmi is beneficial for overall hair health. Vatika Enriched Coconut Hair Oil is clinically proven to reduce 50% Hairfall in 4 weeks."
4947,4948,Anti-Lice Treatement Hair Oil,Beauty & Hygiene,Hair Care,Mediker,34.0,34.0,Hair Oil & Serum,4.4,Mediker Natural Anti-lice oil is 3 times more effective than regular oil. It is clinically tested and safe to use. It is a newly improved coconut based anti-lice oil with neem and camphor.
5635,5636,Advansed Ayurvedic Hot Oil,Beauty & Hygiene,Hair Care,Parachute ,110.0,110.0,Hair Oil & Serum,4.2,"The warmth of love heals. So, give dry and unmanageable hair the magic of warmth with Parachute Advansed Ayurvedic Hot Oil. This coconut oil, enriched with Malakangani and Black Pepper, deeply conditions your hair, leaving it soft and manageable. Heal your dry hair from within with this magical touch of warmth. Hair care tip, gently massages into your hair and scalp. The warmth goes up the pores and the hair oil soaks in. Wash it off for beautiful lustrous hair. Parachute Advansed by Marico stands for care, nurturance and beauty, and tries to fulfil the needs of its myriad consumers through various offerings in the portfolio spanning hair care. Parachute Advansed brings the coconut oil in multiple variants, Ayurvedic Gold Oil, Advansed Aloe Vera Coconut Hair Oil and Advansed Jasmine Hair Oil."
5704,5705,Hair Serum,Beauty & Hygiene,Hair Care,Livon Serum,48.0,60.0,Hair Oil & Serum,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo"
5885,5886,Hair Oil - Brahmi Amla Ayurvedic,Beauty & Hygiene,Hair Care,Bajaj,87.75,135.0,Hair Oil & Serum,4.3,"Bajaj with 65 years of rich experience brings an ayurvedic hair oil which is the perfect blend of Ayurvedic Brahmi and Amla. Amla nourishes your hair, makes it strong and promotes hair growth. In combination with Amla, Brahmi is known to help improve blood circulation & reduce hair fall."
6187,6188,Cool Almond Drops Hair Oil,Beauty & Hygiene,Hair Care,Bajaj,38.0,38.0,Hair Oil & Serum,4.3,Bajaj Cool Almond Drops Hair Oil gives you a cooling and relaxing experience. It has Menthol and Camphor which is known for their cooling properties and sweet almond oil and Vitamin E which help nourish hair. It's light and non-sticky texture help avoid the hassles of stickiness.
6436,6437,"Advansed Jasmine, Non Sticky Coconut Hair Oil",Beauty & Hygiene,Hair Care,Parachute ,204.25,215.0,Hair Oil & Serum,4.3,"Parachute Advansed Jasmine coconut hair oil gives your hair the strength and nourishment it needs. This non-sticky hair oil comes with the fragrance of jasmine for a soothing, pleasant experience and Vitamin E improves your scalp and hair health. It leaves your hair soft, silky and shiny.
Nourish your hair with this advansed hair oil to fight everyday damage and get strong, silky hair that shines, all day long. For best results, apply parachute advanced jasmine coconut hair oil at night and wash it off in the morning. That gives the oil time to go deep into the roots and nourish your hair from within."
6494,6495,Onion Hair Oil For Hair Regrowth & Hair Fall Control,Beauty & Hygiene,Hair Care,Mamaearth,599.0,599.0,Hair Oil & Serum,4.3,"Stress, pollution & unhealthy lifestyle choices can lead to many hair troubles; hair fall being the most common one. Mamaearth Onion Hair Oil helps you combat this problem.Onion Oil, rich in Sulphur, Potassium & antioxidants, reduces hair fall & accelerates hair regrowth. One of the newest breakthrough ingredients in hair regrowth, Redensyl, unblocks hair follicles & also boosts new hair growth. The easy comb applicator ensures that oil sinks well and spreads evenly on the scalp. Safe for coloured & chemically treated hair, the Oil is free of harmful chemicals & toxins such as Silicones, Parabens, Mineral Oil, and Dyes.The hair oil is dermatologically tested and can be used on all skin types. The product has no harsh chemicals and is free of SLS, Parabens, and Mineral Oils."
7446,7447,"Hair Oil - For Strong, Long & Thick Hair",Beauty & Hygiene,Hair Care,Dabur Amla,88.0,88.0,Hair Oil & Serum,4.2,"Dabur Amla Hair Oil infuses your hair with strength, thanks to Amla extract which is renowned as the power fruit for hair. Dabur Amla hair oils penetrate well into your scalp, nourishes your scalp & hair with the power of Amla. Dabur Amla helps make your hair strong from the roots, helps in hair growth to give stronger, longer & thicker hair. It is a beneficial product for scalp health and Amla has been traditionally used as a hair tonic. Strengthen your hair from roots to tips!"
9055,9056,Neemraj Oil,Beauty & Hygiene,Hair Care,Indulekha,410.4,432.0,Hair Oil & Serum,4.1,"Indulekha Neemraj Oil is a Proprietary Ayurvedic Medicine which treats Dandruff, Grows New Hair. It is 100% Ayurvedic Oil which is Clinically Proven to Treat Dandruff and Grow New Hair in 4 months. This oil is Proven on Real Male and Female consumers having Dandruff problems and suffering from itchy scalp. This oil is formulated by using fresh leaves of Neem and Svetakutaja knew for their Anti Dandruff Properties. Indulekha Neemraj oil also contains Bringharaj and Aloe vera to restore scalp health, Amla, Yashti, Draksha to provide Antioxidant properties and has Virgin Coconut Oil which is the purest form of Coconut oil. This oil is rich in Nutrients, Antioxidants and Minerals which helps in strengthening air follicles and prevents hair thinning. Indulekha Neemraj Oil has 100% natural fragrance and colour and is free from Parabens, Sulphates, Silicones, Synthetic dyes and Artificial Perfume. This oil also does not contain any added preservatives. It comes with a unique easy to apply selfie comb which helps in dispensing the oil directly on to the scalp where it is required for Anti-Dandruff action. For best results use 3 times a week for 4 months, post applying the oil leave it for 3-4 hours and then rinse it off using Indulekha Bringha Shampoo."
9322,9323,Advansed Aloe Vera Enriched Coconut Hair Oil,Beauty & Hygiene,Hair Care,Parachute ,78.0,78.0,Hair Oil & Serum,4.3,"Give your hair the love it deserves with Parachute Advanced Aloe Vera Enriched Coconut Hair Oil. It's a new combination of 'miracle plant' Aloe Vera and pure Coconut oil that provides irresistible softness and strength to your hair which in turn prevents breakage and repairs dryness leaving them smooth and healthy. It is also so light and non-sticky that it suits all hair types
Aloe Vera moisturizes and conditions hair from within, making it soft and silky from its core. On the other hand, coconut oil is a hair growth oil that provides deep nourishment making hair long and strong. All in all, your hair will feel stronger, softer and silkier!   You can lightly apply in your hair post-hair-wash as well for a conditioned and manageable hair look, all day long."
9431,9432,"100% Pure Castor Oil, Cold Pressed, To Support Hair Growth, Good Skin & Strong Nails",Beauty & Hygiene,Hair Care,Mamaearth,299.0,299.0,Hair Oil & Serum,4.2,"One of the most versatile carrier or base oils – Castor oil is a deep moisturizing & conditioning agent. It is beneficial not just for hair, skin & nails, but also helps in nourishing scalp & lips, making cuticles healthy, aiding the growth of eyebrows/eyelashes and for fighting skin infections such as ringworm, dandruff etc. Mamaearth's Castor Oil is 100% pure, natural and cold-pressed and is extracted from best quality castor seeds without using any heat or chemical treatment. Suitable for all skin and hair types, the oil is free of any additives, toxins or harmful chemicals such as mineral oils, silicones, etc."
9548,9549,"Non-Sticky Hair Oil For Damage Repair - Aloe Vera, Olive Oil & Green Tea",Beauty & Hygiene,Hair Care,Hair & Care,57.0,60.0,Hair Oil & Serum,4.1,"Now Say Goodbye to your hair worries! The new Hair & Care Triple Blend Oil enriched with Aloe Vera, Olive Oil & Green Tea repairs up to 100 % hair damage*. It is light and non-sticky and comes with the classic, loved Hair & Care fragrance. This hair oil cares for dry hair, frizzy hair and rough hair and helps repair these signs of damage to give soft, smooth & bouncy hair.
It is enriched with Aloe Vera, Olive Oil and Green Tea. Aloe Vera soothes itchy scalp, reduces dryness, deep conditions the hair and protects it from sun damage thus leaving your hair soft, smooth and shiny hair. Olive oil, known to be rich in Vitamin E and antioxidants, moisturises hair, and prevents scalp irritation, giving strong and nourished hair. Green tea, rich in anti-fungal and anti-inflammatory properties, improves hair health and adds shine to damaged, dyed and chemically treated hair.
The non-sticky and light formula of the hair oil also lets you set your hair post washing. Dab just a bit after wash and style it the way you want. Get damage free hair with the new Hair & Care Damage Repair Triple Blend Non-Sticky Hair Oil!
*Refers to surface damage. Based on lab studies on hair breakage vs untreated hair."
9669,9670,Onion Hair Oil For Regrowth & Hair Fall Control With Redensyl,Beauty & Hygiene,Hair Care,Mamaearth,399.0,399.0,Hair Oil & Serum,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo"
9716,9717,"Pure Coconut Oil - Made From Dala Copra, Triple Filtered",Beauty & Hygiene,Hair Care,Meera,169.15,199.0,Hair Oil & Serum,4.5,Natural products are more beneficial and relevant even in today's modern times. The best of ingredients and latest technology are combined to achieve goodness and purity. A whiff of Meera Pure Coconut Oil will reveal the quality delivered through the product. The aroma of the oil makes all the difference. This age-old essence is hygienically prepared and well presented to consumers in a convenient to use format.
9839,9840,Grapeseed Oil Smoothing Hair Serum - Leave-On,Beauty & Hygiene,Hair Care,Aloe Veda,351.0,390.0,Hair Oil & Serum,4.7,"This instant soothing serum for smooth, soft and shiny hair is not greasy and is long lasting. It is easily set the brittle and rough hair and makes it manageable. The serum lasts in any weather. This serum seals the hair strands and protects it from becoming rough and unmanageable."
10144,10145,"7 Ultra Hair Oils - Almond, Castor, Jojoba, Coconut, Olive, Walnut, Amla Oils",Beauty & Hygiene,Hair Care,Morpheme Remedies,549.0,549.0,Hair Oil & Serum,4.1,"Morpheme Remedies 7 Ultra Oils contains 7 most important hair oils for hair nourishment and growth. 100% Natural. It contains no paraben, no silicon, no sulphate, no mineral oil, no chemicals and no preservatives. It strengthens the hair."
10229,10230,Total Repair 5 Serum,Beauty & Hygiene,Hair Care,Loreal Paris,150.0,150.0,Hair Oil & Serum,4.1,"5 Problems. 1 Solution. L'Oreal Paris Total Repair 5 Repairing Serum helps fight against the five visible signs of damaged hair - hair fall, dryness, roughness, dullness and split ends without weighing it down. Damaged hair can lack the natural cement which keeps the hair strong and resilient. To ensure cohesion and strength, the L’Oreal Laboratories have created Ceramide-Cement technology to replicate the hair’s natural cement, targetting the 5 problems. When applied, it instantly attaches itself to damaged areas, repairs and unifies the hair‘s surface, creating a protective shield against further damage and split ends. Explore our best hair products to revive and repair damaged hair."
10345,10346,Hair Oil - Ayurvedic Care,Beauty & Hygiene,Hair Care,K.P. Namboodiris,120.0,120.0,Hair Oil & Serum,4.3,"Improves hair growth, prevents hair loss, prevent premature greying of hair and fight against dandruff.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
10531,10532,Liss Unlimited Evening Primrose Oil,Beauty & Hygiene,Hair Care,LOreal Professionnel,650.0,650.0,Hair Oil & Serum,4.2,"This glossing oil contains caring and nourishing evening primrose oil to give your hair extra shine, control, and agility. Your hair will be more equalised and more manageable! Liss Unlimited Evening Primrose Oil is suitable for all hair types."
10559,10560,Brahmi Bhringaraj Taila - Anti Graying,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,70.0,70.0,Hair Oil & Serum,4.6,"Sri Sri Ayurveda Brahmi Bhringaraj Taila is a proprietary medicated hair oil prepared from exclusive herbs, It nourishes the hair root and promotes hair growth, Regular use keeps the hair healthy, reduces hair fall,prevents premature graying and dryness of scalp.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
10756,10757,Scalp Nourishing Oil,Beauty & Hygiene,Hair Care,Kaya Clinic,773.0,1190.0,Hair Oil & Serum,5.0,"A light-weight, non-sticky hair oil with an exotic blend of macadamia, avocado and 100% natural olive oil. Enriched with basil root extract, kaya scalp nourishing oil nourishes and rejuvenates scalp for stronger roots & shaft. This formula controls hair fall from the root and reduces hair fall due to breakage in 90 days."
10812,10813,Enriched Coconut Hair Oil - With 7 Ayurvedic Herbs,Beauty & Hygiene,Hair Care,Dabur Vatika,87.0,87.0,Hair Oil & Serum,4.3,"Want to control hair fall? The new Dabur Vatika enriched coconut hair oil with 7 Ayurvedic herbs is here for you. A unique blend of ayurvedic herbs like amla, brahmi, heena, kapur, harar & coconut processed by Tel Pak Vidhi helps in controlling hair fall and rejuvenating the scalp."
10970,10971,Hair Oil - Active Care Anti Dandruff,Beauty & Hygiene,Hair Care,Clear,110.0,110.0,Hair Oil & Serum,4.5,"The clinically proven formula in the Clear Active Care Hair Oil works wonders to fight dandruff and keep your hair healthy and shining. The Active Care formula works through your hair from root to tip to nourish hair and keep your scalp from flaking. Non-sticky and light, it does not give you that heavy, greasy feeling and you can apply this to your hair for a couple of days or 24 hours before washing, which gives great results. Add this Clear Active Care Anti-Dandruff Hair Oil bottle to your cart now, so you can soothe and nourish your hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
11214,11215,Hair Oil,Beauty & Hygiene,Hair Care,Nyassa,300.0,300.0,Hair Oil & Serum,4.5,"Nyassa hair oil is a rich and nourishing blend of natural herbal extracts. It is fortified with strengthening and nutritive elements that will keep hair and scalp problems, especially hair loss, premature greying and dandruff, at bay."
11899,11900,100% Ayurvedic Anti-Hairfall Oil - With Bhringraj & Amla,Beauty & Hygiene,Hair Care,Godrej Anoop,359.1,399.0,Hair Oil & Serum,4.1,"Godrej Anoop Hair Oil is a 100% Ayurvedic anti-hair fall solution. It is made with ingredients such as Amla, Bhringraj, Yashtimadhu and Nilini among others - all of which have a very strong linkage with healthy hair in Ayurvedic literature. Launched in 1991, Anoop is recognized as a Proprietary Ayurvedic Medicine and is recommended for both - men & women. Anoop's potent formulation is derived from ancient Indian ayurvedic text - Sahasrayogam. Its rich natural ingredients are known to combat hair fall & dandruff, deeply nourish & cleanse the scalp, promote hair growth & shine and improve hair thickness over time. Main Ingredients: Bhringraj - Known to blacken & strengthen hair and promote hair growth Amla - Known to prevent greying of hair Nilini - Known to promote hair growthYashtimadhu - Known to prevent hair fall and reduce natural greying Manufacturing Process: The ingredients are handpicked from the hills of Kerala. All ingredients are processed in a traditional way using brass vessels with milk and coconut oil. When condensed to 1/9th its original volume - the final product is obtained which is 100% Herbal, completely free of chemicals and preservatives. The entire process from handpicking of leaves to filling the oil in the bottle, is completed within 48 hours, preserving the natural essence of all the ingredients."
12046,12047,Castor Hair Oil,Beauty & Hygiene,Hair Care,INATUR ,320.0,400.0,Hair Oil & Serum,4.3,"Inatur Castor oil is 100% natural and cold-pressed. It is a versatile oil with great benefits for both skin and hair, some of which are listed here:  |Treats constipation and dry stool when taken internally. | Promotes eyelash growth when used regularly every night. | Nourishes & softens dry skin | Prevents ageing signs and gives a youthful appearance. | Prevents stretch marks | Treats brittle nails | Softens calluses | Prevents hairfall and makes the roots stronger | Moisturizes and conditions hair. | Relieves muscle spasms with massage. | Heals chapped lips."
12448,12449,Hair Regrowth Tonic,Beauty & Hygiene,Hair Care,Mamaearth,499.0,499.0,Hair Oil & Serum,4.2,"Hi! I am Mamaearths Hair Re-Growth Tonic. I have a combination of the most efficacious natural ingredients that will nourish your hair from root to tip. I am a light and non-greasy tonic which promotes healthy scalp and gives soft, glossy hair within seconds of application. I have Korean Red Ginseng and Milk Protein which easily gets absorbed in the scalp and prevents hair loss strengthens hair roots and helps hair grow faster. I have no harmful chemicals. Use me to reduce hair fall and boost new hair growth."
12588,12589,Hair Oil - Bhringraj,Beauty & Hygiene,Hair Care,Khadi Natural,166.25,175.0,Hair Oil & Serum,4.1,"Bhringraj hair oil prevents hair fall, premature greying, strengthens the hair roots, conditions the hair well, prevents split ends, stimulates hair growth, prevents baldness. The oil has cooling properties on the mind and body."
